2025-06-11 15:25:38 - Face detected at X:266, Y:144, W:202, H:202
2025-06-11 15:25:38 - Face detected at X:264, Y:143, W:205, H:205
2025-06-11 15:25:38 - Face detected at X:264, Y:143, W:205, H:205
2025-06-11 15:25:38 - Face detected at X:264, Y:142, W:208, H:208
2025-06-11 15:25:38 - Face detected at X:263, Y:141, W:212, H:212
2025-06-11 15:25:38 - Face detected at X:264, Y:142, W:211, H:211
2025-06-11 15:25:38 - Face detected at X:268, Y:146, W:203, H:203
2025-06-11 15:25:38 - Face detected at X:267, Y:144, W:205, H:205
2025-06-11 15:25:38 - Face detected at X:265, Y:142, W:208, H:208
2025-06-11 15:25:38 - Face detected at X:266, Y:144, W:207, H:207
2025-06-11 15:25:38 - Face detected at X:265, Y:142, W:208, H:208
2025-06-11 15:25:38 - Face detected at X:265, Y:142, W:208, H:208
2025-06-11 15:25:38 - Face detected at X:265, Y:142, W:209, H:209
2025-06-11 15:25:39 - Face detected at X:267, Y:145, W:205, H:205
2025-06-11 15:25:39 - Face detected at X:269, Y:145, W:202, H:202
2025-06-11 15:25:39 - Face detected at X:269, Y:145, W:204, H:204
2025-06-11 15:25:39 - Face detected at X:267, Y:144, W:206, H:206
2025-06-11 15:25:39 - Face detected at X:267, Y:144, W:205, H:205
2025-06-11 15:25:39 - Face detected at X:267, Y:144, W:206, H:206
2025-06-11 15:25:39 - Face detected at X:267, Y:144, W:206, H:206
2025-06-11 15:25:39 - Face detected at X:265, Y:141, W:209, H:209
2025-06-11 15:25:39 - Face detected at X:266, Y:141, W:211, H:211
2025-06-11 15:25:39 - Face detected at X:267, Y:143, W:209, H:209
2025-06-11 15:25:39 - Face detected at X:267, Y:142, W:210, H:210
2025-06-11 15:25:39 - Face detected at X:267, Y:142, W:210, H:210
2025-06-11 15:25:39 - Face detected at X:266, Y:142, W:210, H:210
2025-06-11 15:25:39 - Face detected at X:267, Y:143, W:208, H:208
2025-06-11 15:25:39 - Face detected at X:267, Y:142, W:210, H:210
2025-06-11 15:25:39 - Face detected at X:269, Y:143, W:208, H:208
2025-06-11 15:25:39 - Face detected at X:266, Y:141, W:211, H:211
2025-06-11 15:25:39 - Face detected at X:266, Y:141, W:210, H:210
2025-06-11 15:25:39 - Face detected at X:267, Y:143, W:208, H:208
2025-06-11 15:25:39 - Face detected at X:265, Y:143, W:209, H:209
2025-06-11 15:25:39 - Face detected at X:265, Y:142, W:211, H:211
2025-06-11 15:25:39 - Face detected at X:268, Y:143, W:205, H:205
2025-06-11 15:25:39 - Face detected at X:272, Y:145, W:203, H:203
2025-06-11 15:25:39 - Face detected at X:272, Y:145, W:203, H:203
2025-06-11 15:25:39 - Face detected at X:272, Y:145, W:202, H:202
2025-06-11 15:25:39 - Face detected at X:271, Y:145, W:200, H:200
2025-06-11 15:25:39 - Face detected at X:271, Y:145, W:200, H:200
2025-06-11 15:25:39 - Face detected at X:273, Y:144, W:199, H:199
2025-06-11 15:25:39 - Face detected at X:271, Y:143, W:203, H:203
2025-06-11 15:25:40 - Face detected at X:270, Y:142, W:202, H:202
2025-06-11 15:25:40 - Face detected at X:270, Y:142, W:203, H:203
2025-06-11 15:25:40 - Face detected at X:271, Y:143, W:202, H:202
2025-06-11 15:25:40 - Face detected at X:271, Y:142, W:198, H:198
2025-06-11 15:25:40 - Face detected at X:270, Y:142, W:199, H:199
2025-06-11 15:25:40 - Face detected at X:272, Y:143, W:197, H:197
2025-06-11 15:25:40 - Face detected at X:274, Y:143, W:197, H:197
2025-06-11 15:25:40 - Face detected at X:275, Y:142, W:195, H:195
2025-06-11 15:25:40 - Face detected at X:278, Y:147, W:194, H:194
2025-06-11 15:25:40 - Face detected at X:279, Y:147, W:192, H:192
2025-06-11 15:25:40 - Face detected at X:278, Y:146, W:194, H:194
2025-06-11 15:25:40 - Face detected at X:278, Y:145, W:195, H:195
2025-06-11 15:25:40 - Face detected at X:275, Y:144, W:198, H:198
2025-06-11 15:25:40 - Face detected at X:276, Y:144, W:199, H:199
2025-06-11 15:25:40 - Face detected at X:274, Y:143, W:200, H:200
2025-06-11 15:25:40 - Face detected at X:280, Y:143, W:194, H:194
2025-06-11 15:25:40 - Face detected at X:283, Y:140, W:198, H:198
2025-06-11 15:25:40 - Face detected at X:289, Y:144, W:188, H:188
2025-06-11 15:25:40 - Face detected at X:291, Y:143, W:195, H:195
2025-06-11 15:25:40 - Face detected at X:293, Y:138, W:201, H:201
2025-06-11 15:25:40 - Face detected at X:300, Y:140, W:201, H:201
2025-06-11 15:25:40 - Face detected at X:309, Y:141, W:202, H:202
2025-06-11 15:25:40 - Face detected at X:315, Y:138, W:208, H:208
